81408;2010-02-17T01:00:00+01:00;101090;20;1.0;90;101010.0;;;3.890667,-51.804667;25.80000000000001;;;6;97308
81408;2013-04-01T05:00:00+02:00;101430;0;0.0;96;101350.0;;;3.890667,-51.804667;24.30000000000001;;;6;97308
81408;2013-04-01T11:00:00+02:00;101250;20;1.5;96;101170.0;;;3.890667,-51.804667;24.5;;;6;97308
81408;2013-04-07T17:00:00+02:00;101470;50;2.1;62;101390.0;;;3.890667,-51.804667;31.0;;;6;97308
81408;2010-06-14T02:00:00+02:00;101300;0;0.0;92;101220.0;;;3.890667,-51.804667;24.600000000000023;;;6;97308
81408;2010-06-20T23:00:00+02:00;100930;0;0.0;82;100850.0;;;3.890667,-51.804667;25.700000000000045;;;6;97308
81408;2010-06-19T02:00:00+02:00;101180;350;1.0;95;101100.0;;;3.890667,-51.804667;24.700000000000045;;;6;97308
81408;2010-06-16T05:00:00+02:00;101340;0;0.0;96;101260.0;;;3.890667,-51.804667;23.30000000000001;;;6;97308
81408;2010-06-13T08:00:00+02:00;101310;0;0.0;96;101230.0;;;3.890667,-51.804667;23.600000000000023;;;6;97308
81408;2010-06-13T20:00:00+02:00;101170;340;2.1;81;101090.0;;;3.890667,-51.804667;27.700000000000045;;;6;97308
81408;2010-07-02T17:00:00+02:00;101250;180;1.0;65;101170.0;;;3.890667,-51.804667;30.200000000000045;;;6;97308
81408;2010-06-25T14:00:00+02:00;101420;40;1.0;77;101340.0;;0.2;3.890667,-51.804667;29.100000000000023;;;6;97308
81408;2010-06-25T23:00:00+02:00;101130;80;2.1;64;101050.0;;;3.890667,-51.804667;30.30000000000001;;;6;97308
81408;2010-08-15T11:00:00+02:00;101350;0;0.0;97;101270.0;;;3.890667,-51.804667;22.600000000000023;;;6;97308
81408;2010-11-01T22:00:00+01:00;100990;100;3.1;61;100910.0;;;3.890667,-51.804667;29.900000000000034;;;6;97308
81408;2010-11-02T22:00:00+01:00;100760;90;2.1;62;100680.0;;;3.890667,-51.804667;30.5;;;6;97308
81408;2010-11-03T10:00:00+01:00;100890;0;0.0;97;100810.0;;;3.890667,-51.804667;21.900000000000034;;;6;97308
81408;2010-11-05T07:00:00+01:00;100960;0;0.0;97;100880.0;;;3.890667,-51.804667;22.400000000000034;;;6;97308
81408;2010-11-06T16:00:00+01:00;101140;100;3.1;50;101060.0;;;3.890667,-51.804667;33.400000000000034;;;6;97308
81408;2010-11-14T22:00:00+01:00;100920;290;0.5;90;100840.0;;;3.890667,-51.804667;24.600000000000023;;;6;97308
81408;2010-10-23T02:00:00+02:00;101030;350;1.0;85;100950.0;;;3.890667,-51.804667;26.600000000000023;;;6;97308
81408;2010-12-02T13:00:00+01:00;101050;60;1.0;75;100970.0;;0.0;3.890667,-51.804667;28.5;;;6;97308
